,gender,SeniorCitizen,Partner,Dependents,PhoneService,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,Contract,PaperlessBilling,MonthlyCharges,Churn,MultipleLines_No,MultipleLines_No phone service,MultipleLines_Yes,StreamingTV_No,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No,StreamingMovies_No internet service,StreamingMovies_Yes,PaymentMethod_Bank transfer (automatic),PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,tenure_scaled,Charges_scaled
0,1,0,1,0,1,0,0,0,0,0,0,0,24.1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1.0,0.1979979229171475
1,0,0,0,1,1,2,2,1,1,2,1,1,88.15,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0.611111111111111,0.4563120240018463
2,0,1,1,1,1,2,2,2,2,2,1,1,74.95,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0.5277777777777778,0.3289926148165243
3,1,0,0,1,1,1,2,2,2,2,1,1,55.9,0,1,0,0,1,0,0,0,0,1,0,0,2,0,0.05555555555555555,0.02535195015001154
4,1,0,0,1,1,1,1,2,1,2,1,0,53.45,0,1,0,0,1,0,0,1,0,0,0,0,2,0,0.027777777777777776,0.01162012462497115
5,0,0,1,1,0,1,1,2,1,1,0,1,49.85,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0.9722222222222222,0.3867297484421878
6,0,0,0,1,1,2,1,2,2,2,1,1,90.65,0,0,0,1,1,0,0,0,0,1,0,0,2,0,0.4583333333333333,0.34281098546042
7,0,0,0,1,0,1,2,2,2,2,1,1,24.9,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0.013888888888888888,0.0007039003000230784
8,1,0,0,1,0,1,2,2,1,1,1,0,35.55,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0.5416666666666666,0.14889799215324256
9,1,1,0,1,1,2,1,1,1,1,1,1,116.5,0,0,0,1,0,0,1,0,0,1,0,0,2,0,0.7638888888888888,0.7343353334871914
10,1,0,1,0,1,1,2,1,1,1,1,1,68.75,0,1,0,0,0,0,1,1,0,0,0,0,2,0,0.7222222222222222,0.3997288252942534
11,0,0,1,0,0,1,2,2,2,1,1,0,51.2,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0.41666666666666663,0.1780175398107547
12,1,1,1,1,1,2,2,2,2,1,1,1,99.0,0,0,0,1,0,0,1,0,0,1,0,0,2,0,0.8333333333333333,0.6922570966997461
13,1,0,1,0,1,1,2,2,1,2,1,0,54.9,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0.6944444444444444,0.2994807292868682
14,0,0,0,1,1,2,1,2,1,1,1,1,109.55,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0.4444444444444444,0.4141703207939072
15,1,0,1,1,1,2,2,1,1,2,1,1,106.8,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0.7083333333333333,0.6323563351027003
16,1,0,0,1,1,2,2,2,2,1,1,1,74.3,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0.013888888888888888,0.006404338795291945
17,0,0,1,0,1,0,0,0,0,0,0,1,25.6,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0.9583333333333333,0.19093007154396494
18,0,0,1,0,1,2,2,2,2,2,1,1,94.2,1,0,0,1,0,0,1,0,0,1,0,0,2,0,0.5833333333333333,0.48090237710593126
19,1,0,1,1,0,1,2,2,2,2,1,0,46.35,1,0,1,0,0,0,1,0,0,1,0,0,2,0,0.19444444444444442,0.0748788368336026
20,1,0,0,0,1,0,0,0,0,0,0,0,25.6,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0.7222222222222222,0.15182321717055158
21,1,0,1,1,1,2,2,2,1,1,0,1,107.6,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0.861111111111111,0.7955111931687052
22,0,0,1,0,1,0,0,0,0,0,0,0,19.55,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1.0,0.16670320793907226
23,1,0,0,1,1,2,2,2,2,1,1,1,96.2,1,1,0,0,0,0,1,0,0,1,0,0,2,0,0.4444444444444444,0.36517424417262867
24,0,1,0,1,1,2,2,2,2,2,1,1,69.65,1,1,0,0,1,0,0,1,0,0,0,0,2,0,0.013888888888888888,0.005867759058389107
25,0,1,1,1,1,2,1,2,2,2,0,0,78.5,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1.0,0.6442937918301408
26,0,1,0,1,1,1,2,2,2,2,1,0,45.1,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0.013888888888888888,0.003034848834525733
27,0,0,0,1,1,0,0,0,0,0,1,1,25.75,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0.013888888888888888,0.0008019847680590811
28,1,0,0,1,1,2,2,1,1,2,1,0,104.1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0.06944444444444445,0.06036233556427417
29,1,0,0,1,1,2,2,1,1,2,0,1,104.75,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0.875,0.7521001615508885
30,1,0,1,0,1,1,1,1,1,2,0,0,81.35,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0.9305555555555555,0.6207939072236326
31,0,0,1,0,1,2,2,1,1,2,1,1,96.35,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0.5555555555555556,0.4496422801753981
32,1,0,0,1,1,2,1,2,2,1,1,0,93.55,0,0,0,1,1,0,0,0,0,1,0,0,2,0,0.9027777777777777,0.6981825525040388
33,0,0,1,0,1,0,0,0,0,0,0,0,19.7,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0.2222222222222222,0.03262750980844681
34,0,1,0,1,1,1,2,2,1,1,1,1,69.1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0.6388888888888888,0.37347680590814675
35,1,0,0,1,0,1,2,1,2,1,1,1,35.65,0,0,1,0,1,0,0,1,0,0,0,0,2,0,0.15277777777777776,0.046884375721209334
36,0,0,1,1,1,2,2,1,1,2,1,0,99.4,0,1,0,0,0,0,1,0,0,1,0,0,2,0,0.6805555555555555,0.5776828986845142
37,0,0,1,1,0,1,1,2,1,2,1,1,54.4,0,0,1,0,0,0,1,0,0,1,0,0,2,0,0.9444444444444444,0.42751557812139396
38,0,0,0,1,1,0,0,0,0,0,1,1,19.3,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0.1388888888888889,0.019201477036695128
39,0,1,0,1,1,2,2,1,2,2,1,1,83.8,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0.027777777777777776,0.016720516962843292
